1 	 6.4169041410983382e+06
2 	 6.4769041410983745e+06
3 	 6.5369041410983736e+06
4 	 6.5969041410983689e+06
5 	 6.6569041410983624e+06
6 	 6.7093714293961776e+06
7 	 6.7544568778938968e+06
8 	 6.7995412548385374e+06
9 	 6.8446246366814198e+06
10 	 6.8897070605204785e+06
11 	 6.9347885612084521e+06
12 	 6.9798691715385318e+06
13 	 7.0182755626291782e+06
14 	 7.0188937900313428e+06
15 	 7.0194227817245703e+06
16 	 7.0199335792534370e+06
17 	 7.0204303913149228e+06
18 	 7.0209162702644980e+06
19 	 7.0213934463648293e+06
