1 	 2.3800996686113686e+06
2 	 2.4550952476861989e+06
3 	 2.5300699355536643e+06
4 	 2.6050425935851326e+06
5 	 2.6800187624176084e+06
6 	 2.7399330361463442e+06
7 	 2.7850864280980062e+06
8 	 2.8302395163012859e+06
9 	 2.8753903017525808e+06
10 	 2.9204980065192427e+06
11 	 2.9656375240124227e+06
12 	 3.0107835446450650e+06
13 	 3.0497893007963686e+06
14 	 3.0504633685831255e+06
15 	 3.0510271746241981e+06
16 	 3.0515841827775091e+06
17 	 3.0521351585133444e+06
18 	 3.0526807025996284e+06
19 	 3.0532212982493928e+06
