,t,vdz_subsurfstor,overland_flow,surf_stor,vdz_et,dom_tot,bndy_flux,exp_wb,dom_tot_chg,diff,pc_diff,prcp_v
0,0,3362096.114556031,-97.129188460088,62642.47009601645,652.8828493581228,3424738.584652047,555.7536608980348,3425850.0921010817,555.7537881364115,0.00012723837664907478,3.714067260048708e-09,914.4144000000001
1,1,3362563.9764977563,-111.52332093386845,62730.36194242722,507.5934745007815,3425294.3384401836,396.07015356691306,3426086.4787479145,396.07015416398644,5.970733809590456e-07,1.742727116383968e-11,717.5952000000001
2,2,3362908.5238224226,-128.79618253865243,62781.88477192504,624.3257093444853,3425690.4085943475,495.52952680583286,3426681.4677167144,495.5295955608599,6.875502702996528e-05,2.0064609937549436e-09,862.7903999999999
3,3,3363340.820659584,-106.84880832509977,62845.1175303246,187.0038585335287,3426185.9381899084,80.15505020842893,3426346.248400283,80.15516016632318,0.00010995789425294333,3.20918804701309e-09,281.5344
4,4,3363434.086651689,-92.66134674061405,62832.00669838568,136.48055331886212,3426266.0933500747,43.81920657824807,3426353.731793983,43.81923732999712,3.075174905120548e-05,8.975065465615065e-10,210.94559999999998
5,5,3363488.773843161,-78.5325515221441,62821.138744244,21.07673392288605,3426309.9125874047,-57.455817599258054,3426195.0009304783,-57.45583932707086,-2.1727812807625924e-05,6.341674306840426e-10,56.4192
6,6,3363454.2265855707,-69.02758515215771,62798.23016250703,-19.867001866695745,3426252.4567480776,-88.89458701885346,3426074.667567456,-88.89459360251203,-6.583658574754736e-06,1.9216331264108709e-10,0.0
7,7,3363388.12935964,-64.06681703663023,62775.432794835106,-18.564906004791318,3426163.562154475,-82.63172304142154,3425998.2986449758,-82.6317864577286,-6.341630705719581e-05,1.851031481313862e-09,0.0
8,8,3363323.007132914,-61.39759406748573,62757.92323510333,-17.755476687960858,3426080.9303680174,-79.15307075544658,3425922.62416021,-79.15313705196604,-6.629651946354898e-05,1.9351435142175786e-09,0.0
9,9,3363257.920923169,-59.94470207084483,62743.856307796756,-17.02138449351126,3426001.7772309654,-76.96608656435609,3425847.8450564356,-76.96608796529472,-1.4009386291036208e-06,4.089319469121205e-11,0.0
10,10,3363191.7547827554,-59.1808246769448,62733.05636024488,-16.18465972029008,3425924.811143,-75.36548439723488,3425774.0801677024,-75.3654909003526,-6.5031177172159005e-06,1.8982914707841893e-10,0.0
11,11,3363125.995886928,-58.65935380754023,62723.44976517188,-16.69560608434341,3425849.4456521,-75.35495989188364,3425698.7357327705,-75.35495943715796,4.5472567933302344e-07,1.327395414517546e-11,0.0
12,12,3363059.864214096,-58.08141546542332,62714.22647856644,-18.972470222287786,3425774.0906926626,-77.0538856877111,3425619.9829221102,-77.05388486478478,8.229263244174945e-07,2.4022697453893435e-11,0.0
13,13,3362992.4888641094,-60.33387379417061,62704.54794368845,41.061552500648,3425697.036807798,-19.27232129352261,3425658.492155701,-19.272330803330988,-9.509808378993512e-06,2.7760526628003634e-10,79.4448
14,14,3362972.975121092,-58.9482761612255,62704.789355902656,-21.820772885561336,3425677.7644769945,-80.76904904678683,3425516.2263785857,-80.76904936227947,-3.1549264178920566e-07,9.210075823308555e-12,0.0
15,15,3362903.3012639163,-59.58042920919856,62693.69416371582,15.593628361057991,3425596.9954276322,-43.986800848140575,3425509.021827514,-43.98679927038029,1.5777602868638496e-06,4.605914848888976e-11,55.6848
16,16,3362864.280229988,-58.529050635688115,62688.7283983738,-23.13365302642321,3425553.008628362,-81.66270366211133,3425389.683216122,-81.66270857769996,-4.915588633025436e-06,1.4350450861433542e-10,0.0
17,17,3362794.0214337925,-57.44613978706668,62677.324485991805,-29.785366649158462,3425471.345919784,-87.23150643622515,3425296.882885394,-87.23152795387432,-2.1517649173574682e-05,6.281980776933032e-10,0.0
18,18,3362718.780198282,-56.87564915845519,62665.33419354823,-29.035731310988805,3425384.1143918303,-85.911380469444,3425212.2915468677,-85.91146449325606,-8.402381206451537e-05,2.4530979370790822e-09,0.0
19,19,3362643.9825978726,-56.45610959183652,62654.22032946449,-28.835876079537893,3425298.202927337,-85.29198567137442,3425127.618957614,-85.29198405146599,1.6199084313939238e-06,4.7294834283778266e-11,0.0
20,20,3362569.6545283487,-56.10068218281389,62643.25641493698,-28.734791570008372,3425212.9109432856,-84.83547375282227,3425043.2399957217,-84.83547381078824,-5.796597690732597e-08,1.6924159155257373e-12,0.0
21,21,3362495.6120151095,-55.79569049035167,62632.46345436512,-27.688959508582524,3425128.075469475,-83.48464999893419,3424961.106168579,-83.48465089686215,-8.979279613186009e-07,2.6217172501648966e-11,0.0
22,22,3362422.78263952,-55.48501490509963,62621.808179058164,-27.861604086231896,3425044.590818578,-83.34661899133152,3424877.89756728,-83.34663230646402,-1.3315132491698023e-05,3.8877685248737993e-10,0.0
23,23,3362350.23271406,-55.08298236126318,62611.01147221135,-30.114066979358387,3424961.2441862714,-85.19704934062156,3424790.8500475185,-85.19708941224962,-4.007162806374254e-05,1.1700459916606747e-09,0.0
24,24,3362276.2257954087,-54.65285790352125,62599.82130145065,-32.10747989552673,3424876.047096859,-86.76033779904799,3424702.526416559,-86.76034250156954,-4.702521550825622e-06,1.3731182532066838e-10,0.0
25,25,3362201.052929756,-54.38248195643319,62588.233824601535,-32.27619461018806,3424789.2867543576,-86.65867656662124,3424615.9694005377,-86.6586772534065,-6.867852562209009e-07,2.0054372880271282e-11,0.0
26,26,3362125.771857148,-54.20285807492234,62576.856219956135,-32.46994420360313,3424702.628077104,-86.67280227852547,3424529.2824720987,-86.67280272720382,-4.4867834958495223e-07,1.3101898467665031e-11,0.0
27,27,3362050.308017842,-54.08101595756146,62565.64725653483,-32.55064099212059,3424615.955274377,-86.63165694968205,3424442.6919590738,-86.63165835337713,-1.403695080171019e-06,4.0990467834869376e-11,0.0
28,28,3361974.825142407,-54.170164500306434,62554.498473616964,-30.800251501188036,3424529.3236160236,-84.97041600149447,3424359.382715362,-84.97048466000706,-6.865851258908151e-05,2.0050031236685918e-09,0.0
29,29,3361900.404831384,-54.360631646413616,62543.94829997969,-29.28655900434217,3424444.3531313636,-83.64719065075579,3424277.058730924,-83.64720978867263,-1.9137916837053126e-05,5.588892635967329e-10,0.0
30,30,3361826.9067913136,-54.60096018516894,62533.79913026156,-27.80931124250835,3424360.705921575,-82.41027142767729,3424195.8853710345,-82.41027911286801,-7.685190723805135e-06,2.244378236840383e-10,0.0
31,31,3361754.336854368,-54.829673438073705,62523.958788094016,-26.834562231021557,3424278.295642462,-81.66423566909526,3424114.9671677584,-81.66423903452232,-3.365427062362869e-06,9.828604163798177e-11,0.0
32,32,3361682.368889492,-55.04716977831109,62514.262513935566,-25.896099413180732,3424196.6314034276,-80.94326919149182,3424034.744875576,-80.9432586603798,1.0531112025091716e-05,3.0756440310229387e-10,0.0
33,33,3361610.9879168076,-55.24633830024082,62504.7002279596,-25.073835268003613,3424115.688144767,-80.32017356824443,3423955.0478073694,-80.32016382971779,9.738526642877332e-06,2.8442332060152733e-10,0.0
34,34,3361540.1271217004,-55.22564047427817,62495.24085923713,-26.515542853770576,3424035.3679809375,-81.74118332804875,3423871.8856237056,-81.74117390392348,9.424125266832561e-06,2.7524760217819384e-10,0.0
35,35,3361468.3915168964,-55.09573763058274,62485.23529013693,-27.744568103814906,3423953.6268070335,-82.84030573439765,3423787.9462062437,-82.84029505541548,1.0678982164336048e-05,3.1190547814647756e-10,0.0
36,36,3361395.9180746344,-54.90486537260211,62474.86843734378,-29.020776171238605,3423870.786511978,-83.92564154384071,3423702.9352380335,-83.92563240090385,9.142936860939699e-06,2.670481941303133e-10,0.0
37,37,3361322.6550482814,-54.50668712880611,62464.205831296036,-32.83170617862635,3423786.860879577,-87.33839330743245,3423612.1840643804,-87.33842188958079,-2.858214833167949e-05,8.348535638679691e-10,0.0
38,38,3361246.849809566,-53.94635990795565,62452.672648121756,-37.37023944253949,3423699.5224576876,-91.31659935049515,3423516.8892587936,-91.31659954367206,-1.931769020302454e-07,5.6426449256416275e-12,0.0
39,39,3361168.033430132,-53.343789175491345,62440.17242801192,-40.939458566070726,3423608.205858144,-94.28324774156206,3423419.6393635795,-94.28324682312086,9.184412022023025e-07,2.6828180560798634e-11,0.0
40,40,3361086.949165961,-52.95111725222635,62426.97344535995,-41.487025520922735,3423513.922611321,-94.43814277314908,3423325.046239311,-94.4382292367518,-8.646360271313824e-05,2.525719922743612e-09,0.0
41,41,3361005.57119534,-52.70762450425593,62413.913186744154,-41.641191574183544,3423419.484382084,-94.34881607843948,3423230.7867431506,-94.34882285492495,-6.776485463433346e-06,1.9795584597088968e-10,0.0
42,42,3360924.1361430325,-52.48323265433567,62400.999416196835,-42.88178558278287,3423325.135559229,-95.36501823711853,3423134.4055222147,-95.36501877754927,-5.40430733053654e-07,1.5787598996458592e-11,0.0
43,43,3360841.872912604,-52.544046344635724,62387.89762784774,-40.89335634127428,3423229.7705404516,-93.43740268591,3423042.8957337975,-93.4374039680697,-1.2821597010770347e-06,3.7456723159239823e-11,0.0
44,44,3360760.7530862805,-52.79618444418568,62375.580050202996,-38.5180476799779,3423136.3331364836,-91.31423212416357,3422953.704672171,-91.31423218874261,-6.457904078160936e-08,1.8866466319267486e-12,0.0
45,45,3360681.059867311,-53.20221130896793,62363.95903698414,-35.362820971724034,3423045.018904295,-88.56503228069197,3422867.8888400854,-88.56503192894161,3.517503586181192e-07,1.027648071855083e-11,0.0
46,46,3360603.2860816037,-53.533561413091284,62353.167790762,-32.709679663985824,3422956.453872366,-86.2432410770771,3422783.9673914816,-86.243239806965,1.270112107931709e-06,3.7107574419885665e-11,0.0
47,47,3360527.582415524,-53.730727606694224,62342.62821703489,-32.57129301422208,3422870.210632559,-86.3020206209163,3422697.606591764,-86.30202017398551,4.46930783937205e-07,1.3057851884912714e-11,0.0
48,48,3360451.921962646,-53.85136418669881,62331.986649739294,-32.35881686560935,3422783.908612385,-86.21018105230816,3422611.4882475957,-86.2101837368682,-2.6845600444858064e-06,7.843601453755192e-11,0.0
49,49,3360376.4363856874,-53.92458342692602,62321.26204296062,-32.09277020901487,3422697.698428648,-86.01735363594089,3422525.663721433,-86.01735357940197,5.653892287682538e-08,1.651964906388711e-12,0.0
50,50,3360301.187709617,-53.97605093081012,62310.493365451504,-31.81841719400497,3422611.6810750687,-85.79446812481508,3422440.092141728,-85.7944652158767,2.9089383843938776e-06,8.499603517014359e-11,0.0
51,51,3360226.155751212,-54.01857725060351,62299.73085864093,-31.653245024020475,3422525.886609853,-85.67182227462398,3422354.5429792497,-85.67180832847953,1.3946144449050735e-05,4.075014518194906e-10,0.0
52,52,3360151.21253293,-54.06795784465826,62289.002268594275,-31.626172435844182,3422440.2148015243,-85.69413028050243,3422268.8265475533,-85.69412369048223,6.590020205976543e-06,1.9256290314939038e-10,0.0
53,53,3360076.272865085,-54.08288830703097,62278.24781274897,-32.11731922463393,3422354.520677834,-86.2002075316649,3422182.1202740525,-86.20019624987617,1.1281788729888831e-05,3.2966652075738654e-10,0.0
54,54,3360000.9189622994,-54.02621488106133,62267.401519284795,-32.51178951301373,3422268.320481584,-86.53800439407506,3422095.2444811324,-86.53799605742097,8.336654090612683e-06,2.4361256759458517e-10,0.0
55,55,3359925.326637111,-54.06361412455564,62256.455848415324,-31.56785344641677,3422181.7824855265,-85.6314675709724,3422010.5195657066,-85.6314522488974,1.5322075000767654e-05,4.477506691800645e-10,0.0
56,56,3359850.2783535062,-54.15722308695782,62245.87267977132,-30.607697070149907,3422096.1510332776,-84.76492015710772,3421926.621207948,-84.76490517286584,1.4984241886395466e-05,4.3788904746022856e-10,0.0
57,57,3359775.800430334,-54.28215639825724,62235.58569777063,-29.785066390627165,3422011.3861281048,-84.06722278888441,3421843.25169802,-84.06720729591325,1.5492971158437285e-05,4.527668282510958e-10,0.0
58,58,3359701.7790270126,-54.36001586954768,62225.5398937963,-29.57000675171252,3421927.318920809,-83.9300226212602,3421759.4588836227,-83.93001456512138,8.05613882448597e-06,2.354384906738696e-10,0.0
59,59,3359627.8793332004,-54.40981004806849,62215.50957304336,-29.23689835475124,3421843.3889062437,-83.64670840281974,3421676.0954990024,-83.6466988385655,9.564254241922754e-06,2.7951956804163675e-10,0.0
60,60,3359554.220456013,-54.43780829297539,62205.5217513923,-29.00406169007634,3421759.742207405,-83.44186998305173,3421592.8584757983,-83.44186162389815,8.359153582659928e-06,2.4430591038770295e-10,0.0
61,61,3359480.726404851,-54.3445003884775,62195.57394093055,-30.548316665936746,3421676.3003457813,-84.89281705441425,3421506.5147148245,-84.89281390234828,3.1520659717898525e-06,9.212509046040996e-11,0.0
62,62,3359406.111568921,-54.15260834823665,62185.295962958255,-32.40269671942907,3421591.407531879,-86.55530506766573,3421418.296926892,-86.55529991956428,5.1481014509136e-06,1.504668825655609e-10,0.0
