,t,vdz_subsurfstor,overland_flow,surf_stor,vdz_et,dom_tot,bndy_flux,exp_wb,dom_tot_chg,diff,pc_diff,prcp_v
0,0,3221214.8480908726,-78.3534284809077,86484.81956349431,652.045348198596,3307699.667654367,573.6919197176883,3308847.051494417,573.691920332145,6.144566668808693e-07,1.8570113919389367e-11,914.4144000000001
1,1,3221718.1537224306,-80.3439108011424,86555.20585226874,507.3469096409123,3308273.3595746993,427.00299883976993,3309127.365555873,427.0029823342338,-1.6505536109434615e-05,4.987881784556814e-10,717.5952000000001
2,2,3222093.898099669,-82.93962279319629,86606.46445736458,624.1590021600233,3308700.3625570335,541.2193793668271,3309782.8013207233,541.2193843228742,4.956047177984146e-06,1.4973934773020465e-10,862.7903999999999
3,3,3222567.0832840037,-78.63881472378606,86674.4986573529,186.88435683130245,3309241.5819413564,108.2455421075164,3309458.073137305,108.24565384117886,0.00011173366246453043,3.3761921134903206e-09,281.5344
4,4,3222670.7330946326,-76.36191664377475,86679.09450056516,136.30518336681314,3309349.8275951976,59.94326672303839,3309469.7141288337,59.94326691329479,1.902564008560148e-07,5.748848525302092e-12,210.94559999999998
5,5,3222732.216766688,-74.14107498066119,86677.55409542275,20.887232424983196,3309409.770862111,-53.25384255567799,3309303.2631338146,-53.25388574087992,-4.318520193180575e-05,1.3049635677967637e-09,56.4192
6,6,3222696.304447781,-72.74332704059037,86660.21252858931,-20.094711418633167,3309356.51697637,-92.83803845922354,3309170.8408985115,-92.83803939912468,-9.399011418054215e-07,2.8402919854999632e-11,0.0
7,7,3222625.9374531726,-72.09421559385409,86637.74148379827,-18.825288884124813,3309263.678936971,-90.9195044779789,3309081.839961756,-90.91947073675692,3.37412219835187e-05,1.0196551072278302e-09,0.0
8,8,3222554.917033325,-71.78030091130006,86617.84243290915,-18.019449611862726,3309172.759466234,-89.79975052316279,3308993.1599722635,-89.79974344745278,7.075710001913649e-06,2.1383271768301142e-10,0.0
9,9,3222484.4353640294,-71.63418111847133,86598.52435875752,-17.28798244162906,3309082.9597227867,-88.92216356010039,3308905.1153951725,-88.92216405412182,-4.94021435315517e-07,1.493005746876841e-11,0.0
