,t,vdz_subsurfstor,overland_flow,surf_stor,vdz_et,dom_tot,bndy_flux,exp_wb,dom_tot_chg,diff,pc_diff,prcp_v
0,0,3291798.9845324038,-82.40744168883742,79609.7245622935,651.5294001733505,3371408.709094697,569.121958484513,3372546.953106636,569.1220534546301,9.497011706116609e-05,2.815976126698072e-09,914.4144000000001
1,1,3292283.644105219,-85.98393654814838,79694.18704293281,506.9621645571272,3371977.831148152,420.9782280089788,3372819.7875896664,420.97821350581944,-1.4503159377454722e-05,4.300010166810359e-10,717.5952000000001
2,2,3292645.3666761136,-90.38684216225124,79753.44268554382,623.8521227483538,3372398.8093616576,533.4652805861026,3373465.7399258944,533.4652836509049,3.0648022857349133e-06,9.085025673929738e-11,862.7903999999999
3,3,3293100.268826785,-83.68108767905478,79832.00581852326,186.6437053582424,3372932.2746453085,102.96261767918763,3373138.1997644664,102.96250147884712,-0.00011620034051418315,3.4448733977842054e-09,281.5344
4,4,3293198.152398425,-79.68384008405927,79837.08474836241,136.08676998136318,3373035.2371467873,56.402929897303906,3373148.0430211234,56.40294443862513,1.454132122091778e-05,4.310905135338799e-10,210.94559999999998
5,5,3293255.0947251776,-75.76778357839552,79836.54536604825,20.70169362078155,3373091.640091226,-55.06608995761397,3372981.5078881592,-55.06611310923472,-2.3151620752059898e-05,6.863844553525361e-10,56.4192
6,6,3293217.904953011,-73.2085187357829,79818.6690251061,-20.2477333645926,3373036.5739781167,-93.45625210037551,3372849.6614723513,-93.45625366503373,-1.5646582198769465e-06,4.638980022589935e-11,0.0
7,7,3293147.450141388,-71.95747066738049,79795.66758306387,-18.946225461684843,3372943.1177244517,-90.90369612906534,3372761.310350621,-90.90367770148441,1.842758092607255e-05,5.463648100302978e-10,0.0
8,8,3293078.094642449,-71.32782064392401,79774.11940430124,-18.125044016022443,3372852.21404675,-89.45286465994646,3372673.3083221787,-89.45285991160199,4.748344466065646e-06,1.4078874625505398e-10,0.0
9,9,3293009.305902318,-71.0112546759504,79753.45528452047,-17.378738253172504,3372762.7611868386,-88.3899929291229,3372585.981201325,-88.38999258447438,3.4464851239590644e-07,1.0219117149776612e-11,0.0
10,10,3292940.9944154727,-70.8662298797163,79733.37677878128,-16.529799686738116,3372674.371194254,-87.39602956645442,3372499.579134081,-87.39603060670197,-1.0402475538739964e-06,3.0845001740254895e-11,0.0
11,11,3292873.043774091,-70.7634186737663,79713.93138955648,-17.05605034424845,3372586.9751636474,-87.81946901801474,3372411.3362259027,-87.81946872686967,2.9114507071881235e-07,8.633142333243238e-12,0.0
12,12,3292804.5309466836,-70.61669975305834,79694.62474823692,-19.39057591021739,3372499.1556949206,-90.00727566327573,3372319.141143329,-90.00727592827752,-2.650017876248967e-07,7.858146768845022e-12,0.0
13,13,3292734.3567129606,-71.42660922435253,79674.7917060318,40.653940402361535,3372409.1484189923,-30.772668821990997,3372347.6030803304,-30.772669839672744,-1.0176817468732224e-06,3.017724940168278e-11,79.4448
14,14,3292714.5922541,-70.90240111114394,79663.78349505267,-22.205222494338678,3372378.3757491526,-93.10762360548262,3372192.1605018578,-93.10762368934229,-8.385967475987854e-08,2.486800003336653e-12,0.0
15,15,3292641.942203044,-71.13169596301547,79643.32592241955,15.104288491371872,3372285.2681254633,-56.0274074716436,3372173.2133058594,-56.02741213236004,-4.6607164421175185e-06,1.38211062934945e-10,55.6848
16,16,3292601.4152396773,-70.7519939382642,79627.8254736536,-24.146772866292284,3372229.240713331,-94.89876680455649,3372039.443179449,-94.89876707736403,-2.7280754011371755e-07,8.090283186500663e-12,0.0
17,17,3292528.0519245407,-70.39542864191353,79606.29002171286,-30.38898358901945,3372134.3419462536,-100.78441223093297,3371932.7731267866,-100.78440723614767,4.9947853000276154e-06,1.4812825866026864e-10,0.0
18,18,3292449.666973096,-70.23294423224256,79583.89056592173,-29.62379174936517,3372033.5575390174,-99.85673598160773,3371833.844066214,-99.85673682205379,-8.404460629662935e-07,2.492548867570443e-11,0.0
19,19,3292371.9262719955,-70.11256559384415,79561.77453020003,-29.4032885265772,3371933.7008021954,-99.51585412042135,3371734.6689114845,-99.51603659056127,-0.0001824701399186779,5.41175857048045e-09,0.0
20,20,3292294.5271320455,-70.00122099657423,79539.65763355944,-29.30455992509469,3371834.184765605,-99.30578092166893,3371635.5730586057,-99.30592607753351,-0.00014515586458685448,4.305206225332805e-09,0.0
21,21,3292217.3775643264,-69.89936722135828,79517.50127520102,-28.27436725622951,3371734.8788395273,-98.17373447758779,3371538.5312674916,-98.1738375579007,-0.00010308031291117459,3.057367191720117e-09,0.0
22,22,3292141.2929635337,-69.78822861504375,79495.41203843559,-28.487273780398912,3371636.7050019694,-98.27550239544266,3371440.1538891466,-98.27561042737216,-0.0001080319294999299,3.2043258835637043e-09,0.0
23,23,3292065.339576662,-69.63728486171625,79473.08981487998,-30.78773894867195,3371538.429391542,-100.42502381038821,3371337.579264309,-100.42510342271999,-7.961233177411486e-05,2.361446455667243e-09,0.0
24,24,3291987.8875735975,-69.47362883211082,79450.11671452182,-32.822909068802524,3371438.0042881193,-102.29653790091334,3371233.4111233037,-102.29662691475824,-8.901384489945485e-05,2.640394005522009e-09,0.0
25,25,3291909.1307876008,-69.36987367435196,79426.57687360396,-32.99085152839454,3371335.7076612045,-102.36072520274651,3371130.9861682113,-102.36076779058203,-4.258783552302248e-05,1.263310019627266e-09,0.0
26,26,3291830.275134658,-69.29681151675526,79403.07175875606,-33.18445772261377,3371233.346893414,-102.48126923936903,3371028.384326297,-102.48129787761718,-2.863824815335647e-05,8.495404039464905e-10,0.0
27,27,3291751.3004031708,-69.24281956116045,79379.5651923654,-33.264243205645634,3371130.8655955363,-102.50706276680609,3370925.8514503413,-102.50708242831752,-1.96615114305132e-05,5.832673958714883e-10,0.0
28,28,3291672.291854866,-69.27066076312049,79356.06665824236,-31.465051574044352,3371028.358513108,-100.73571233716484,3370826.8870730363,-100.7357277343981,-1.5397233255498577e-05,4.567791159654697e-10,0.0
29,29,3291594.4215804026,-69.33290916979193,79333.20120497076,-29.91169565431624,3370927.6227853736,-99.24460482410817,3370729.133563387,-99.24461716227233,-1.2338164168568255e-05,3.6603843499951865e-10,0.0
30,30,3291517.540554192,-69.40991275647146,79310.8376140196,-28.39992281480207,3370828.3781682113,-97.80983557127352,3370632.758483451,-97.80984918912873,-1.361785520259673e-05,4.0401480013870786e-10,0.0
31,31,3291441.6479867813,-69.47865312712011,79288.92033224083,-27.39952927416153,3370730.568319022,-96.87818240128163,3370536.811933201,-96.87820341996849,-2.1018686851448365e-05,6.236005723786448e-10,0.0
32,32,3291366.4005441694,-69.54157472730789,79267.289571433,-26.437935153055854,3370633.690115602,-95.97950988036374,3370441.731008753,-95.97959696874022,-8.708837648896406e-05,2.5838861324239248e-09,0.0
33,33,3291291.779894688,-69.59685093992638,79245.93062394542,-25.596162045612434,3370537.7105186335,-95.19301298553881,3370347.324451999,-95.19305364927277,-4.0663733955170756e-05,1.2065146419822612e-09,0.0
34,34,3291217.7128512855,-69.56456682900286,79224.80461369856,-27.067813209176816,3370442.517464984,-96.63238003817968,3370249.252707695,-96.63237725105137,2.7871283094782484e-06,8.269798761142189e-11,0.0
35,35,3291142.7018110543,-69.49386866164721,79203.18327667913,-28.320596652465237,3370345.885087733,-97.81446531411245,3370150.256157095,-97.81446532392874,-9.816290003072936e-09,2.912715830737537e-13,0.0
36,36,3291066.8959222524,-69.40340882627801,79181.17470015661,-29.61831572629212,3370248.070622409,-99.02172455257013,3370050.0271742004,-99.02172365644947,8.961206674484856e-07,2.659072299291314e-11,0.0
37,37,3290990.2478586086,-69.23324945047528,79158.80104014398,-33.49029286909478,3370149.048898753,-102.72354231957007,3369943.601820504,-102.72353592934087,6.39022920267962e-06,1.8962421802036995e-10,0.0
38,38,3290910.94967052,-69.00383422678833,79135.3756923032,-38.111697471228375,3370046.3253628234,-107.1155316980167,3369832.0942929573,-107.11553816823289,-6.470216192155931e-06,1.9200411210735657e-10,0.0
39,39,3290828.514858438,-68.762493209133,79110.69496621683,-41.76355551157131,3369939.209824655,-110.52604872070431,3369718.1577454624,-110.5260304720141,1.8248690210498353e-05,5.415494518006749e-10,0.0
40,40,3290743.6816202924,-68.60855503446965,79085.00217389091,-42.32883162491453,3369828.683794183,-110.93738665938417,3369606.809014521,-110.93739300267771,-6.343293534882832e-06,1.8825025869228938e-10,0.0
41,41,3290658.521093405,-68.51081538331566,79059.22530777569,-42.485564178676796,3369717.7464011805,-110.99637956199246,3369495.7536096633,-110.99641195498407,-3.239299161350573e-05,9.613602147681552e-10,0.0
42,42,3290573.285088425,-68.41351595871903,79033.46490080043,-43.679521361588094,3369606.7499892255,-112.09303732030713,3369382.5639103637,-112.0930415415205,-4.2212133735120005e-06,1.2528151058670635e-10,0.0
43,43,3290487.3163620154,-68.4321855983162,79007.34058566838,-41.632047121641094,3369494.656947684,-110.06423271995729,3369274.5284751817,-110.06423978228122,-7.062323930995262e-06,2.0960963172660878e-10,0.0
44,44,3290402.6086459886,-68.5227245594634,78981.98406191295,-39.271515363208216,3369384.5927079017,-107.79423992267161,3369169.004227473,-107.79424050590023,-5.832286262830166e-07,1.7310756021773e-11,0.0
45,45,3290319.2860471574,-68.66954157083616,78957.51242023849,-35.999431982597955,3369276.798467396,-104.66897355343411,3369067.4605173618,-104.66897648060694,-2.9271728294588684e-06,8.688377017566056e-11,0.0
