,t,vdz_subsurfstor,overland_flow,surf_stor,vdz_et,dom_tot,bndy_flux,exp_wb,dom_tot_chg,diff,pc_diff,prcp_v
0,0,3136600.9459616877,-75.36072956964638,95373.24971078371,652.8776040587206,3231974.1956724715,577.5168744890742,3233129.2294846512,577.516937690787,6.320171280549403e-05,1.9548155461626305e-09,914.4144000000001
1,1,3137124.2051426712,-75.38593588088342,95427.50746749101,507.8272010415071,3232551.7126101623,432.4412651606237,3233416.595140356,432.44126503309235,-1.2753133660226013e-07,3.944166575811251e-12,717.5952000000001
2,2,3137515.0519472323,-75.42099209581073,95469.10192796291,624.5378615729088,3232984.1538751954,549.1168694770981,3234082.3876143256,549.1168696531095,1.760113264026586e-07,5.44238845233922e-12,862.7903999999999
3,3,3138006.6514886264,-75.4233663814619,95526.619256222,187.1800091996193,3233533.2707448485,111.75664281815739,3233756.784048045,111.75666037853807,1.7560380683789845e-05,5.430334393240176e-10,281.5344
4,4,3138110.4535048907,-75.42181472683694,95534.57390033649,136.6183990694251,3233645.027405227,61.19658434258815,3233767.4204887743,61.19649920472875,-8.513785940067464e-05,2.6327762120816442e-09,210.94559999999998
5,5,3138170.952593315,-75.41138051037166,95535.27131111672,21.196060421412888,3233706.223904432,-54.21532008895877,3233597.7932611695,-54.21532317344099,-3.0844822234143976e-06,9.538855543019206e-11,56.4192
6,6,3138130.8224452455,-75.39768126678042,95521.18613601297,-19.77396912976467,3233652.0085812584,-95.17165039654509,3233461.665278602,-95.17165225977078,-1.8632256910677825e-06,5.7623249753518976e-11,0.0
7,7,3138055.236596002,-75.3840139639102,95501.60033299685,-18.4872480894942,3233556.8369289986,-93.87126205340441,3233369.094405715,-93.87126123020425,8.232001533770017e-07,2.5459516972599252e-11,0.0
8,8,3137980.995539998,-75.37042775868923,95481.9701277703,-17.685391610746624,3233462.9656677684,-93.05581936943585,3233276.854028341,-93.05582005809993,-6.886640733227978e-07,2.1299260917443275e-11,0.0
9,9,3137907.2021392006,-75.35693303100429,95462.70770850974,-16.95975713480225,3233369.9098477103,-92.31669016580653,3233185.2764704633,-92.31668708100915,3.084797384644844e-06,9.541047359996615e-11,0.0
