,t,vdz_subsurfstor,overland_flow,surf_stor,vdz_et,dom_tot,bndy_flux,exp_wb,dom_tot_chg,diff,pc_diff,prcp_v
0,0,3187464.7734437264,-75.00572049021788,92272.94811719414,652.372622066981,3279737.7215609206,577.3669015767631,3280892.4553565904,577.3668940928765,-7.483886633963266e-06,2.281052102681575e-10,914.4144000000001
1,1,3187975.8075026674,-75.04193174845287,92339.28095234626,507.43741733532653,3280315.0884550135,432.39548558687363,3281179.8793926593,432.39545205887407,-3.352799956246599e-05,1.0218275374976384e-09,717.5952000000001
2,2,3188357.622014692,-75.0915773133583,92389.86189238048,624.2298531626682,3280747.4839070723,549.1382758493098,3281845.760435533,549.138252611272,-2.3238037783812615e-05,7.080783034949425e-10,862.7903999999999
3,3,3188838.160132974,-75.10244709994619,92458.46202670982,186.96152130482025,3281296.6221596836,111.85907420487406,3281520.3404303812,111.85919649293646,0.00012228806239988899,3.726567252782914e-09,281.5344
4,4,3188942.048767658,-75.10550176547731,92466.43258851876,136.39887468583512,3281408.4813561765,61.29337292035781,3281531.068134864,61.29340576706454,3.2846706730538244e-05,1.000956750021186e-09,210.94559999999998
5,5,3189002.414409337,-75.09643094888611,92467.36035260672,21.012022602475025,3281469.7747619436,-54.08440834641108,3281361.605929941,-54.08442365610972,-1.5309698639498492e-05,4.665654224707035e-10,56.4192
6,6,3188963.406176395,-75.08216141872019,92452.28416189268,-19.930954339588226,3281415.6903382875,-95.01311575830842,3281225.664106209,-95.01311632059515,-5.622867291776856e-07,1.7136484556018795e-11,0.0
7,7,3188889.3248519083,-75.0670149567361,92431.35237005872,-18.62279437761753,3281320.677221967,-93.68980933435364,3281133.2976090587,-93.68980357376859,5.7605850543041015e-06,1.7556693166052728e-10,0.0
8,8,3188816.479008632,-75.05147897255245,92410.50840976156,-17.806598603152587,3281226.987418393,-92.85807757570504,3281041.2712604995,-92.85808031773195,-2.742026907753825e-06,8.357185055159036e-11,0.0
9,9,3188744.291447183,-75.03580961025366,92389.83789089213,-17.069326328914364,3281134.1293380754,-92.10513593916804,3280949.9190645064,-92.10513762990013,-1.6907320912196155e-06,5.153178600488032e-11,0.0
10,10,3188672.4921104438,-75.02016056456874,92369.53209000184,-16.233887956408218,3281042.0242004455,-91.25404852097697,3280859.5161029533,-91.25404897099361,-4.5001664261690166e-07,1.3716425235769837e-11,0.0
11,11,3188601.0700402693,-75.00434773786125,92349.70011120515,-16.749733491749428,3280950.7701514745,-91.75408122961068,3280767.2619893514,-91.75408089347184,3.3613883942962275e-07,1.0245738651567713e-11,0.0
12,12,3188529.138220804,-74.98806910753126,92329.8778497773,-19.039969557651048,3280859.016070581,-94.02803866518231,3280670.959956124,-94.02807579189539,-3.712671308164772e-05,1.1316804865473085e-09,0.0
13,13,3188455.43522716,-74.97655552885502,92309.55276762931,41.005109631838735,3280764.987994789,-33.97144589701628,3280697.0451004263,-33.971448465716094,-2.568699812854902e-06,7.829737941487587e-11,79.4448
14,14,3188434.9782093787,-74.96012497448321,92296.0383369446,-21.851563294294014,3280731.0165463234,-96.81168826877722,3280537.393169693,-96.81168836168945,-9.291223079799238e-08,2.8322259332096654e-12,0.0
15,15,3188358.662468599,-74.94623217837386,92275.54238936253,15.531573368242546,3280634.2048579617,-59.414658810131314,3280515.3755399925,-59.41465915925801,-3.4912669377717975e-07,1.064243430713113e-11,55.6848
16,16,3188316.11140717,-74.92871815981954,92258.67879163261,-23.821700461572465,3280574.7901988025,-98.750418621392,3280377.2893616203,-98.75041856057942,6.081258163703751e-08,1.8538288822525037e-12,0.0
17,17,3188239.153615808,-74.9109804255945,92236.88616443373,-29.933592502584087,3280476.039780242,-104.8445729281786,3280266.350625714,-104.84458159981295,-8.67163436168994e-06,2.6435762937469446e-10,0.0
18,18,3188156.5766760595,-74.89332048290409,92214.61852258275,-29.17152520414312,3280371.195198642,-104.06484568704721,3280163.0655074175,-104.06484553730115,1.4974605733186763e-07,4.565201617764786e-12,0.0
19,19,3188074.5633107987,-74.87562007277809,92192.56704230623,-28.924800406775656,3280267.130353105,-103.80042047955375,3280059.5295142704,-103.80041835503653,2.124517223478506e-06,6.477069103051055e-11,0.0
20,20,3187992.8360283407,-74.85785951775458,92170.49390640881,-28.81618149285061,3280163.3299347498,-103.67404101060518,3279955.98185334,-103.67404039949179,6.111133927788615e-07,1.8631755918673997e-11,0.0
21,21,3187911.269690288,-74.84010193931249,92148.38620406207,-27.77523237392052,3280059.6558943503,-102.615334313233,3279854.425226898,-102.61533313896507,1.1742679362214403e-06,3.5802440717782934e-11,0.0
22,22,3187830.706485192,-74.82218836671488,92126.33407601934,-27.955683050066305,3279957.0405612113,-102.77787141678118,3279751.4846386877,-102.77805110672489,-0.00017968994370676228,5.478767051356567e-09,0.0
23,23,3187750.1542948363,-74.80389162677643,92104.10821526837,-30.2096152358076,3279854.2625101046,-105.01350686258404,3279644.235422075,-105.0135811669752,-7.430439116262733e-05,2.265623519773775e-09,0.0
24,24,3187667.8459484894,-74.78525275217056,92081.40298044801,-32.200829588047064,3279749.2489289376,-106.98608234021762,3279535.2767177317,-106.9861288657412,-4.652552357242712e-05,1.4186620861414065e-09,0.0
25,25,3187583.9975563064,-74.76659988334904,92058.26524376523,-32.361082525247824,3279642.262800072,-107.12768240859687,3279428.007426325,-107.12769133783877,-8.929241900546003e-06,2.722804672133546e-10,0.0
26,26,3187500.0295208674,-74.74792716139271,92035.10558786648,-32.54721299108633,3279535.135108734,-107.29514015247904,3279320.544833426,-107.29513515578583,4.996693206749114e-06,1.5236977106801626e-10,0.0
27,27,3187415.9205429726,-74.7292470280733,92011.91943060546,-32.62083402125187,3279427.839973578,-107.35008104932518,3279213.139823548,-107.35006898082793,1.2068497255768307e-05,3.680302786423241e-10,0.0
28,28,3187331.766620716,-74.7109069300006,91988.72328388129,-30.85657212467921,3279320.4899045974,-105.56747905467981,3279109.35497535,-105.56745019229129,2.8862388518291482e-05,8.801898745614857e-10,0.0
29,29,3187248.971348432,-74.6928537878115,91965.95110597309,-29.33362815579997,3279214.922454405,-104.02648194361147,3279006.869526455,-104.02644600626081,3.593735065976489e-05,1.0959827804494614e-09,0.0
30,30,3187167.355696056,-74.67506580391421,91943.54031234297,-27.849490168870265,3279110.896008399,-102.52455597278447,3278905.846896916,-102.52455550990999,4.628744818546693e-07,1.4116735992670343e-11,0.0
31,31,3187086.9063015175,-74.65745967968009,91921.46515137154,-26.867233751544326,3279008.371452889,-101.52469343122442,3278805.322069041,-101.52469041664153,3.014582887317374e-06,9.194150280978155e-11,0.0
32,32,3187007.226193159,-74.64002477835027,91899.62056931357,-25.92271740554107,3278906.8467624723,-100.56274218389134,3278705.721282982,-100.56273730657995,4.8773113974220905e-06,1.4875721739106135e-10,0.0
33,33,3186928.291128118,-74.62273789910064,91877.99289704752,-25.095399676297212,3278806.2840251657,-99.71813757539786,3278606.847757282,-99.7181303082034,7.267194462201587e-06,2.2165495283988326e-10,0.0
34,34,3186850.0127050295,-74.60519119602402,91856.55318982815,-26.533413463318468,3278706.5658948575,-101.13860465934249,3278504.288704511,-101.13858568761498,1.8971727513417136e-05,5.786702057636699e-10,0.0
35,35,3186770.6383896694,-74.58742641224086,91834.78891950057,-27.75595681600865,3278605.42730917,-102.34338322824951,3278400.7405617735,-102.3433641679585,1.9060291009509456e-05,5.813899067825174e-10,0.0
36,36,3186690.335428592,-74.5694477002171,91812.74851641015,-29.023959957444568,3278503.083945002,-103.59340765766166,3278295.8971488974,-103.59338844707236,1.9210589300655556e-05,5.85993147151934e-10,0.0
37,37,3186609.0547098983,-74.55086982016012,91790.43584665633,-32.829684080407915,3278399.490556555,-107.38055390056803,3278184.72946833,-107.38053432432935,1.957623868520386e-05,5.971670391002895e-10,0.0
38,38,3186524.7528215637,-74.53156538412259,91767.35720066672,-37.369004827119724,3278292.1100222305,-111.90057021124231,3278068.3089023903,-111.90054962877184,2.058247046932138e-05,6.278841235072705e-10,0.0
39,39,3186436.875953301,-74.51165540713527,91743.33351930077,-40.94526284763539,3278180.209472602,-115.45691825477066,3277949.2956569283,-115.45689741848037,2.0836290289594217e-05,6.356501705868654e-10,0.0
40,40,3186346.2294966923,-74.49164125512286,91718.52307849111,-41.507379798996254,3278064.7525751833,-115.99902105411911,3277832.7545486824,-115.99900544667616,1.560744294692995e-05,4.761512900641846e-10,0.0
41,41,3186255.1871507675,-74.47160071322998,91693.56641896915,-41.65527028719306,3277948.7535697366,-116.12687100042304,3277716.499905121,-116.12679361505434,7.738536869794643e-05,2.360953691394191e-09,0.0
42,42,3186164.0532567883,-74.4513270272607,91668.57351933344,-42.77792434998909,3277832.6267761216,-117.2292513772498,3277598.168288893,-117.22923585120589,1.552604391008572e-05,4.737018729233445e-10,0.0
43,43,3186072.1101964912,-74.4314524820978,91643.28734377898,-40.77785488701048,3277715.3975402704,-115.20930736910827,3277484.9789874326,-115.20924546848983,6.190061844790762e-05,1.888662155426006e-09,0.0
44,44,3185981.696601078,-74.41207993097373,91618.49169372405,-38.53023007535853,3277600.188294802,-112.94231000633226,3277374.30368982,-112.94229497527704,1.5031055227154866e-05,4.586310208825463e-10,0.0
45,45,3185892.9295314983,-74.39336622786456,91594.31646832828,-35.31069681541707,3277487.2459998266,-109.70406304328162,3277267.837894659,-109.7040421240963,2.0919185317325173e-05,6.383117386818104e-10,0.0
46,46,3185806.5569723574,-74.3749523552271,91570.9849853451,-32.67267239558731,3277377.5419577025,-107.0476247508144,3277163.4467187733,-107.04761417815462,1.0572659789431782e-05,3.22616188094541e-10,0.0
47,47,3185722.424964917,-74.35655771858542,91548.06937860748,-32.53400471973324,3277270.4943435243,-106.89056243831865,3277056.7132212706,-106.89055981533602,2.6229826346479967e-06,8.004080686384172e-11,0.0
48,48,3185638.4176525124,-74.33819241828206,91525.18613119672,-32.31814529007533,3277163.603783709,-106.6563377083574,3276950.2911343174,-106.65631168335676,2.6025000636309414e-05,7.941835647223338e-10,0.0
49,49,3185554.6051192204,-74.3198583832878,91502.34235280525,-32.048942978015475,3277056.9474720256,-106.36880136130327,3276844.2098964173,-106.3687742468901,2.711441317160279e-05,8.274550584283009e-10,0.0
