,t,vdz_subsurfstor,overland_flow,surf_stor,vdz_et,dom_tot,bndy_flux,exp_wb,dom_tot_chg,diff,pc_diff,prcp_v
0,0,2956325.767701814,-73.72472031201129,91119.9489298961,654.5159266612345,3047445.71663171,580.7912063492232,3048607.2990633515,580.7912252922542,1.894303102289996e-05,6.213667148510725e-10,914.4144000000001
1,1,2956852.2327269125,-73.75047142135499,91174.27513008977,508.96902513707323,3048026.5078570023,435.21855371571826,3048896.9449653346,435.2185546164401,9.007218295664643e-07,2.954254754506651e-11,717.5952000000001
2,2,2957244.2851553424,-73.78505480586537,91217.44125627635,625.4031949530888,3048461.7264116188,551.6181401472235,3049564.962740115,551.6181883490644,4.82018409684315e-05,1.580613679569589e-09,862.7903999999999
3,3,2957738.6719325595,-73.7897369905687,91274.67266740855,187.90502388751165,3049013.344599968,114.11528689694295,3049241.575294784,114.11540791904554,0.00012102210259001822,3.968924717888857e-09,281.5344
4,4,2957843.457775123,-73.79079863575326,91284.00223276377,137.27038782755187,3049127.460007887,63.47958919179861,3049254.4192175274,63.479620448779315,3.125698070505223e-05,1.0250696205622986e-09,210.94559999999998
5,5,2957903.9595536254,-73.78389532129552,91286.98007471027,21.78912185920835,3049190.9396283356,-51.99477346208717,3049086.950057502,-51.99479737179354,-2.3909706371227912e-05,7.841595455576301e-10,56.4192
6,6,2957861.8525430504,-73.77413276753035,91277.09228791331,-19.22344155609449,3049138.944830964,-92.99757432362483,3048952.9496826055,-92.99757403461263,2.890122061671718e-07,9.479064155360543e-12,0.0
7,7,2957783.431379165,-73.76443563466957,91262.515877764,-17.966246484027096,3049045.9472569292,-91.73068211869666,3048862.485888522,-91.73068628832698,-4.169630315686845e-06,1.3676019613825583e-10,0.0
8,8,2957706.2920992207,-73.75480960722005,91247.92447142009,-17.190228792390982,3048954.216570641,-90.94503839961104,3048772.3265065285,-90.94502571271732,1.268689371158871e-05,4.1613122768423104e-10,0.0
9,9,2957629.883203437,-73.7452617045323,91233.38834149107,-16.48956176943048,3048863.271544928,-90.23482347396278,3048682.801900039,-90.23482141504064,2.058922135006469e-06,6.753480990948882e-11,0.0
10,10,2957554.10543154,-73.73581997274195,91218.93129197328,-15.700024073276095,3048773.036723513,-89.43584404601805,3048594.1650342396,-89.4358452274464,-1.1814283595867892e-06,3.875321855355976e-11,0.0
11,11,2957479.0002932968,-73.72627749278001,91204.6005849888,-16.202698246459946,3048683.6008782857,-89.92897573923996,3048503.74293309,-89.92896945681423,6.2824257298643715e-06,2.0608227050493282e-10,0.0
12,12,2957403.568558178,-73.71635534116054,91190.1033506508,-18.391439829770896,3048593.671908829,-92.10779517093144,3048409.4563200627,-92.10779359517619,1.5757552489503723e-06,5.169106288144674e-11,0.0
13,13,2957326.5243007108,-73.71058796782235,91175.0398145228,41.61269182496733,3048501.5641152337,-32.09789614285502,3048437.3683204367,-32.09789865417406,-2.511319038944748e-06,8.23805358457596e-11,79.4448
14,14,2957302.998331349,-73.70050193290382,91166.46788523089,-21.398134713941566,3048469.4662165795,-95.09863664684539,3048279.2689362825,-95.0986436503008,-7.003455408494119e-06,2.2975110843233277e-10,0.0
15,15,2957223.160363962,-73.69269707400613,91151.20720896745,16.071510803481274,3048374.3675729292,-57.62118627052486,3048259.1252042577,-57.621182401198894,3.869325965411008e-06,1.2693559853287514e-10,55.6848
16,16,2957177.2623022064,-73.68166391325342,91139.48408832162,-22.880552884850488,3048316.746390528,-96.5622167981039,3048123.6219277643,-96.56224596546963,-2.9167365724447336e-05,9.568957608747063e-10,0.0
17,17,2957097.2900157687,-73.67052510056234,91122.89412879363,-29.61620973697444,3048220.1841445626,-103.28673483753678,3048013.610685908,-103.286723817233,1.1020303787745434e-05,3.6155690870637175e-10,0.0
18,18,2957010.976845646,-73.65946578648781,91105.9205750996,-28.91242505478691,3048116.8974207453,-102.57189084127472,3047911.754017657,-102.57151224697009,0.00037859430463527133,1.2421432613205444e-08,0.0
19,19,2956925.3055539094,-73.64834258147958,91089.02035458916,-28.54392319563522,3048014.3259084984,-102.1922657771148,3047809.941375922,-102.19226679950953,-1.0223947271015277e-06,3.3545225810241026e-11,0.0
20,20,2956840.0983545044,-73.63712899694302,91072.03528719443,-28.24227960417805,3047912.133641699,-101.87940860112107,3047708.3748362307,-101.87939686700702,1.173411405375191e-05,3.8501433242878576e-10,0.0
21,21,2956755.315739372,-73.62587640309114,91054.93850545982,-26.95005558040453,3047810.254244832,-100.57593198349568,3047609.1023904327,-100.57592241559178,9.567903902052421e-06,3.1394787128532034e-10,0.0
22,22,2956671.862792151,-73.61446133842506,91037.81553026516,-27.036789045778985,3047709.6783224163,-100.65125038420405,3047508.3758286345,-100.65124339750037,6.9867036813775485e-06,2.2925953991768192e-10,0.0
23,23,2956588.56390026,-73.60269720444546,91020.4631787591,-29.219671610598212,3047609.0270790188,-102.82236881504367,3047403.3823452275,-102.82236497616395,3.838879720774457e-06,1.2597215527864e-10,0.0
24,24,2956503.6082654265,-73.59062240919921,91002.59644861602,-31.15448633753895,3047506.2047140426,-104.74510874673817,3047296.71450018,-104.74510511569679,3.631041380458555e-06,1.191561479123677e-10,0.0
25,25,2956417.191315381,-73.57852578273577,90984.26829354599,-31.32532315366442,3047401.459608927,-104.90384893640018,3047191.651930233,-104.90382975758985,1.9178810333642105e-05,6.293929796471237e-10,0.0
26,26,2956330.6603274983,-73.5664017801615,90965.89545167076,-31.52087360108995,3047296.5557791693,-105.08727538125144,3047086.3812492182,-105.08725456986576,2.0811385681440697e-05,6.829929669702578e-10,0.0
27,27,2956243.9955982883,-73.55426125273046,90947.47292631138,-31.60512744574389,3047191.4685245994,-105.15938869847434,3046981.149768826,-105.15936707472429,2.1623750058097357e-05,7.09677841615067e-10,0.0
28,28,2956157.291164658,-73.5424097389074,90929.01799286656,-29.925525802469746,3047086.3091575247,-103.46793554137714,3046879.3733006814,-103.46792130218819,1.4239188956821636e-05,4.673368129239832e-10,0.0
29,29,2956071.870940299,-73.53080030140053,90910.97029592392,-28.47005061854321,3046982.8412362225,-102.00085091994374,3046778.839548757,-102.00083654560149,1.4374342256928685e-05,4.717881741313917e-10,0.0
30,30,2955987.5738828764,-73.51941382955555,90893.26651680055,-27.042240770233146,3046880.840399677,-100.5616545997887,3046679.7171051484,-100.56163992872462,1.467106407915253e-05,4.815427101438965e-10,0.0
31,31,2955904.397212094,-73.50817712559619,90875.88154765395,-26.10376341738737,3046780.278759748,-99.61194054298356,3046581.0548937614,-99.61192544363439,1.509934917010014e-05,4.95616197240046e-10,0.0
32,32,2955821.9570073644,-73.49708110366166,90858.70982694022,-25.197967177090298,3046680.6668343046,-98.69504828075196,3046483.2767538927,-98.69503213139251,1.6149359453265788e-05,5.300984113877477e-10,0.0
