,t,vdz_subsurfstor,overland_flow,surf_stor,vdz_et,dom_tot,bndy_flux,exp_wb,dom_tot_chg,diff,pc_diff,prcp_v
0,0,3175233.1232451624,-77.2932296831883,89294.17888297797,653.0842216425892,3264527.3021281403,575.7909919594009,3265678.8841108596,575.7909907596186,-1.1997823321507894e-06,3.673913984587778e-11,914.4144000000001
1,1,3175741.1665380793,-79.0929472318885,89361.92658082074,508.0812656212735,3265103.0931189,428.988318389385,3265961.069740497,428.98830320779234,-1.5181592630142404e-05,4.648430371936027e-10,717.5952000000001
2,2,3176120.752877841,-81.24960378007566,89411.32854426702,624.7171779376641,3265532.0814221078,543.4675741575885,3266619.0165926763,543.4675964107737,2.2253185193221725e-05,6.812298918296702e-10,862.7903999999999
3,3,3176598.7871171725,-77.63427912801095,89476.76190134592,187.34079852166604,3266075.5490185185,109.7065193936551,3266294.962155558,109.70661764591932,9.825226422321975e-05,3.0080646531193613e-09,281.5344
4,4,3176701.662960049,-75.74918640621884,89483.59267611518,136.7171833135756,3266185.2556361645,60.96799690735675,3266307.191638734,60.96800566231832,8.754961569934494e-06,2.680385235150542e-10,210.94559999999998
5,5,3176761.812447154,-73.95096073010781,89484.4111946728,21.263872060042985,3266246.223641827,-52.687088670064824,3266140.8494421015,-52.68711105501279,-2.238494796813484e-05,6.853638284447676e-10,56.4192
6,6,3176723.203208489,-72.83633479972963,89470.33332228304,-19.743393748616285,3266193.5365307718,-92.57972854834591,3266008.3770735366,-92.57972868671641,-1.3837049550602387e-07,4.2366852601281116e-12,0.0
7,7,3176649.7049351837,-72.30575131927374,89451.25186690137,-18.489835145902575,3266100.956802085,-90.79558646517631,3265919.365548585,-90.79566703457385,-8.05693975394206e-05,2.4669744877760374e-09,0.0
8,8,3176577.3780306545,-72.03312291444688,89432.78310439587,-17.70484951788664,3266010.1611350505,-89.73797243233352,3265830.685209732,-89.73795288614929,1.954618423383181e-05,5.985057438021026e-10,0.0
9,9,3176505.699078389,-71.89029564970826,89414.72410377547,-16.989763050142685,3265920.4231821643,-88.88005869985095,3265742.66306236,-88.88006110442802,-2.404577074344161e-06,7.363032922163362e-11,0.0
10,10,3176434.58363167,-71.82982567002462,89396.95948938998,-16.178330032517636,3265831.54312106,-88.00815570254225,3265655.526808926,-88.00815643137321,-7.288309546993332e-07,2.2318059841771466e-11,0.0
11,11,3176363.9649731927,-71.79294596028538,89379.56999143606,-16.698960084814058,3265743.5349646285,-88.49190604509944,3265566.551153588,-88.49190499540418,1.0496952569383211e-06,3.214435352932886e-11,0.0
12,12,3176292.8110584263,-71.74642617413873,89362.23200120685,-18.961103866769854,3265655.043059633,-90.70753004090858,3265473.627999518,-90.7075300742872,-3.337862608532305e-08,1.022167988101969e-12,0.0
13,13,3176220.0935336924,-71.92625890549643,89344.24199586619,41.04382945245044,3265564.335529559,-30.882429453045987,3265502.5706693255,-30.882430780213326,-1.3271673395820471e-06,4.064205465653697e-11,79.4448
14,14,3176199.2524836836,-71.81095322897335,89334.20061509502,-21.972670186103205,3265533.4530987786,-93.78362341507655,3265345.8858441245,-93.78363123908639,-7.824009841783663e-06,2.396073835761837e-10,0.0
15,15,3176123.8598055337,-71.86020405472702,89315.80966200588,15.363158434808176,3265439.6694675395,-56.49704561991884,3265326.6753897364,-56.49703218322247,1.3436696370661139e-05,4.114962362550567e-10,55.6848
16,16,3176081.3686179225,-71.76598454430531,89301.80381743387,-24.178405756292676,3265383.1724353563,-95.94439030059799,3265191.2836630065,-95.94438204914331,8.251454673313674e-06,2.527096870127897e-10,0.0
17,17,3176005.2971913726,-71.67094145487295,89281.93086193438,-30.38957349101268,3265287.228053307,-102.06051494588563,3265083.1070222505,-102.06051611062139,-1.1647357638366884e-06,3.567246914272039e-11,0.0
18,18,3175923.5950034927,-71.61755457986965,89261.57253370367,-29.68723994607779,3265185.1675371965,-101.30479452594744,3264982.557949925,-101.30479274597019,1.7799772535909142e-06,5.451720558986869e-11,0.0
19,19,3175842.4733144436,-71.58383860633009,89241.38943000711,-29.3309045255236,3265083.8627444506,-100.9147431318537,3264882.0332574714,-100.91474384721369,-7.153599881348782e-07,2.1910745345403552e-11,0.0
20,20,3175761.7377676126,-71.55765627019275,89221.21023299066,-29.04995362618548,3264982.9480006034,-100.60760989637824,3264781.7327801925,-100.60761051438749,-6.180092526619774e-07,1.8929573345036416e-11,0.0
21,21,3175681.2675559083,-71.53284371573788,89201.07283418076,-27.762445467807808,3264882.340390089,-99.29528918354569,3264683.749812257,-99.29528864845634,5.350893559352699e-07,1.6390235530961963e-11,0.0
22,22,3175602.0900112763,-71.50704349838595,89180.95509016425,-27.899620991967602,3264783.0451014405,-99.40666449035356,3264584.231761532,-99.4066754183732,-1.0928019634093289e-05,3.3474460630463367e-10,0.0
23,23,3175523.0320184045,-71.47645353659522,89160.60640761758,-30.155400911972666,3264683.638426022,-101.63185444856788,3264480.3747174647,-101.63185410900041,3.395674639250501e-07,1.0401884065681943e-11,0.0
24,24,3175442.3164437856,-71.44403919669922,89139.69012812765,-32.157296747378524,3264582.006571913,-103.60133594407775,3264374.80390036,-103.60133560886607,3.352116806354388e-07,1.0268786544820747e-11,0.0
25,25,3175360.13672988,-71.41818223867851,89118.2685064247,-32.33659812526757,3264478.4052363043,-103.75478036394608,3264270.8956757253,-103.75478021521121,1.4873486975375272e-07,4.55644995489762e-12,0.0
26,26,3175277.8253206904,-71.39608009597431,89096.82513539883,-32.540907164409525,3264374.650456089,-103.93698726038383,3264166.7764355065,-103.9370333221741,-4.606179027177859e-05,1.4111347068509287e-09,0.0
27,27,3175195.36673939,-71.37655153200991,89075.34668337715,-32.6318687605472,3264270.713422767,-104.0084202925571,3264062.696567064,-104.00843540998176,-1.5117424652544287e-05,4.631474961692324e-10,0.0
