,t,vdz_subsurfstor,overland_flow,surf_stor,vdz_et,dom_tot,bndy_flux,exp_wb,dom_tot_chg,diff,pc_diff,prcp_v
0,0,3256373.6046536504,-81.34648245829133,86458.5704132526,652.0279740435221,3342832.1750669032,570.6814915852308,3343973.5380536593,570.6814951705746,3.5853438475896837e-06,1.0721806876727e-10,914.4144000000001
1,1,3256867.5514565026,-84.1521994694802,86535.30510557126,507.1186729087389,3343402.856562074,422.9664734392587,3344248.7895081136,422.9664726005867,-8.386720082853572e-07,2.5078038778589575e-11,717.5952000000001
2,2,3257235.1780523383,-87.60759806038605,86590.64498233603,623.9877198188079,3343825.8230346744,536.3801217584219,3344898.5832921835,536.3801357508637,1.399244183630799e-05,4.183218560407313e-10,862.7903999999999
3,3,3257698.28310084,-81.8191366359627,86663.92006958502,186.72157314092826,3344362.2031704253,104.90243650496555,3344572.0081107398,104.90250380942598,6.730446042979565e-05,2.0123489722026994e-09,281.5344
4,4,3257797.037671438,-78.56187915813993,86670.06800279683,136.2247908675761,3344467.1056742347,57.66291170943617,3344582.4314976046,57.662911660503596,-4.8932577101368224e-08,1.4630399490395478e-12,210.94559999999998
5,5,3257855.1934719887,-75.42247643810195,86669.57511390629,20.834283895869188,3344524.768585895,-54.58819254223276,3344415.592194462,-54.58819889090955,-6.348676791390062e-06,1.898291828984188e-10,56.4192
6,6,3257817.9494827394,-73.41485871977966,86652.23090426502,-20.116113188709747,3344470.1803870043,-93.5309719084894,3344283.118440579,-93.53097451664507,-2.608155668326617e-06,7.798848291118324e-11,0.0
7,7,3257747.221149849,-72.46083876435385,86629.42826263877,-18.82651056115568,3344376.6494124876,-91.28734932550952,3344194.0747134066,-91.2873497554101,-4.299005809116352e-07,1.285513254635131e-11,0.0
8,8,3257677.5698103392,-71.9892562048903,86607.79225239296,-18.015866919831733,3344285.362062732,-90.00512312472203,3344105.351826242,-90.00511336512864,9.75959339655219e-06,2.9184467502563576e-10,0.0
9,9,3257608.3577123964,-71.75440234115837,86586.99923697078,-17.275793392895437,3344195.356949367,-89.0301957340538,3344017.2968362155,-89.02991741755977,0.0002783164940325378,8.322818613882585e-09,0.0
10,10,3257539.7620307924,-71.64580252749272,86566.565001157,-16.438051360064822,3344106.3270319495,-88.08385388755754,3343930.159321587,-88.08385647507384,-2.587516306107318e-06,7.737949606675609e-11,0.0
11,11,3257471.746079537,-71.56222938110216,86546.49709593755,-16.963368084979447,3344018.2431754745,-88.5255974660816,3343841.1919805994,-88.52559740887955,5.720205820125557e-08,1.7106691052924695e-12,0.0
12,12,3257403.4262936767,-71.43696759491938,86526.29128438895,-19.27740387254112,3343929.7175780656,-90.7143714674605,3343748.2888340764,-90.714372521732,-1.054271507427984e-06,3.152963131072272e-11,0.0
13,13,3257333.6734535354,-72.1038615807204,86505.32975200849,40.754090326878476,3343839.003205544,-31.34977125384193,3343776.3036620766,-31.349772213492543,-9.596506131970273e-07,2.8699605656814594e-11,79.4448
14,14,3257313.666380195,-71.6850310736869,86493.98705313554,-22.164587861839944,3343807.6534333304,-93.84961893552685,3343619.9541927525,-93.84962164238095,-2.706854104417289e-06,8.095579466269822e-11,0.0
15,15,3257241.269777252,-71.87516198690999,86472.53403443591,15.135624857358296,3343713.803811688,-56.73953712955169,3343600.3247386348,-56.73953592358157,1.2059701219868657e-06,3.606801067293038e-11,55.6848
16,16,3257200.6848657825,-71.56190136124566,86456.37940998201,-24.371288375944317,3343657.0642757644,-95.93318973718998,3343465.1978984056,-95.93318762164563,2.1155443477027802e-06,6.327400533531927e-11,0.0
17,17,3257127.421656612,-71.25926312358722,86433.70943153082,-30.433292250563074,3343561.1310881427,-101.69255537415029,3343357.745977368,-101.69255540054291,-2.6392626750748605e-08,7.894048066649001e-13,0.0
18,18,3257049.3887398536,-71.11229513512106,86410.04979288879,-29.69695588828459,3343459.438532742,-100.80925102340565,3343257.8200249774,-100.8092567413114,-5.717905750657337e-06,1.7102796309662467e-10,0.0
19,19,3256971.751911144,-71.00062752316319,86386.87736485721,-29.432791232495877,3343358.629276001,-100.43341875565906,3343157.7624386083,-100.43341863667592,1.1898313800884353e-07,3.5590045837996393e-12,0.0
