,t,vdz_subsurfstor,overland_flow,surf_stor,vdz_et,dom_tot,bndy_flux,exp_wb,dom_tot_chg,diff,pc_diff,prcp_v
16,16,3300981.3251750795,-60.10682574047817,63844.203575946325,-20.680555114055128,3364825.528751026,-80.7873808545333,3364663.9539527046,-80.78741746675223,-3.661221893480615e-05,1.0881389474807799e-09,0.0
17,17,3300912.0586665305,-58.935675728066464,63832.68266702882,-28.57776330942924,3364744.741333559,-87.5134390374957,3364569.7144571375,-87.51343738427386,1.6532218438669588e-06,4.9136204156010507e-11,0.0
18,18,3300837.040165317,-58.298838731503665,63820.18773085795,-27.91926390990128,3364657.227896175,-86.21810264140494,3364484.7916899347,-86.21810359880328,-9.573983419386423e-07,2.8456016335795477e-11,0.0
19,19,3300762.223609265,-57.91416237188617,63808.78618331135,-27.280757651482144,3364571.009792576,-85.19492002336831,3364400.619952279,-85.1949202734977,-2.501293892009926e-07,7.434589915291969e-12,0.0
20,20,3300687.9915770194,-57.673168774956466,63797.823295282986,-26.58270433500239,3364485.8148723026,-84.25587310995886,3364317.3031256427,-84.25587354972959,-4.3977073005407874e-07,1.3071618709849592e-11,0.0
21,21,3300614.48690802,-57.552767967534955,63787.07209073265,-24.83500205108389,3364401.558998753,-82.38777001861885,3364236.783458633,-82.38777010142803,-8.280917995762138e-08,2.461455161681238e-12,0.0
22,22,3300542.578202035,-57.406246685551565,63776.5930266165,-24.666932719908733,3364319.1712286514,-82.0731794054603,3364155.024691142,-82.07335810363293,-0.00017869817263260757,5.311829309917535e-09,0.0
23,23,3300471.1279820995,-57.12963381023178,63765.969888448206,-26.678502915223923,3364237.097870548,-83.80813672545571,3364069.481475718,-83.80825810460374,-0.00012137914802679006,3.6081046689185688e-09,0.0
24,24,3300398.509452878,-56.791297261162796,63754.78015956538,-28.478804390933078,3364153.289612443,-85.27010165209587,3363982.749286897,-85.27022389415652,-0.00012224206064104237,3.6338492124240373e-09,0.0
25,25,3300324.881964373,-56.559817274126175,63743.13742417631,-28.679573763133025,3364068.019388549,-85.2393910372592,3363897.540605991,-85.23939152061939,-4.833601963127876e-07,1.4369052281708686e-11,0.0
26,26,3300251.059071729,-56.391876239692564,63731.7209252993,-28.90498936067544,3363982.7799970284,-85.29686560036801,3363812.186264732,-85.29686669632792,-1.0959599165971667e-06,3.258088906010387e-11,0.0
27,27,3300177.121277724,-56.26994744849984,63720.361852608185,-29.023812976535417,3363897.483130332,-85.29376042503526,3363726.895612484,-85.29375742329285,3.0017424137440685e-06,8.923858883012846e-11,0.0
